date,time,currency,event,impact,actual,previous,open,high,low,close
2021-01-04,1:45pm,EUR,Spanish Manufacturing PMI,Low,51.0,49.8,1.22386,1.23098,1.2229,1.22461
2021-01-04,2:15pm,EUR,Italian Manufacturing PMI,Low,52.8,51.5,1.22386,1.23098,1.2229,1.22461
2021-01-04,2:20pm,EUR,French Final Manufacturing PMI,Low,51.1,51.1,1.22386,1.23098,1.2229,1.22461
2021-01-04,2:25pm,EUR,German Final Manufacturing PMI,Low,58.3,58.6,1.22386,1.23098,1.2229,1.22461
2021-01-04,2:30pm,EUR,Final Manufacturing PMI,Low,55.2,55.5,1.22386,1.23098,1.2229,1.22461
2021-01-04,8:15pm,USD,Final Manufacturing PMI,Low,57.1,56.5,1.22386,1.23098,1.2229,1.22461
2021-01-04,8:30pm,USD,Construction Spending m/m,Low,0.9%,1.6%,1.22386,1.23098,1.2229,1.22461
2021-01-05,12:30pm,EUR,German Retail Sales m/m,Low,1.9%,2.6%,1.22469,1.23057,1.22428,1.22957
2021-01-05,1:30pm,EUR,Spanish Unemployment Change,Low,36.8K,25.3K,1.22469,1.23057,1.22428,1.22957
2021-01-05,2:25pm,EUR,German Unemployment Change,Low,-37K,-40K,1.22469,1.23057,1.22428,1.22957
2021-01-05,2:30pm,EUR,M3 Money Supply y/y,Low,11.0%,10.5%,1.22469,1.23057,1.22428,1.22957
2021-01-05,2:30pm,EUR,Private Loans y/y,Low,3.1%,3.2%,1.22469,1.23057,1.22428,1.22957
2021-01-05,8:30pm,USD,ISM Manufacturing PMI,Medium,60.7,57.5,1.22469,1.23057,1.22428,1.22957
2021-01-05,8:30pm,USD,ISM Manufacturing Prices,Low,77.6,65.4,1.22469,1.23057,1.22428,1.22957
2021-01-05,All Day,USD,Wards Total Vehicle Sales,Low,16.3M,15.6M,1.22469,1.23057,1.22428,1.22957
2021-01-06,All Day,EUR,German Prelim CPI m/m,Low,0.5%,-0.8%,1.2296,1.23495,1.2264,1.23242
2021-01-06,1:15pm,EUR,French Prelim CPI m/m,Low,0.2%,0.2%,1.2296,1.23495,1.2264,1.23242
2021-01-06,1:45pm,EUR,Spanish Services PMI,Low,48.0,39.5,1.2296,1.23495,1.2264,1.23242
2021-01-06,2:15pm,EUR,Italian Services PMI,Low,39.7,39.4,1.2296,1.23495,1.2264,1.23242
2021-01-06,2:20pm,EUR,French Final Services PMI,Low,49.1,49.2,1.2296,1.23495,1.2264,1.23242
2021-01-06,2:25pm,EUR,German Final Services PMI,Low,47.0,47.7,1.2296,1.23495,1.2264,1.23242
2021-01-06,2:30pm,EUR,Final Services PMI,Low,46.4,47.3,1.2296,1.23495,1.2264,1.23242
2021-01-06,3:30pm,EUR,PPI m/m,Low,0.4%,0.4%,1.2296,1.23495,1.2264,1.23242
2021-01-06,4:06pm,EUR,German 10-y Bond Auction,Low,-0.52|1.6,-0.57|2.0,1.2296,1.23495,1.2264,1.23242
2021-01-06,6:45pm,USD,ADP Non-Farm Employment Change,Medium,-123K,304K,1.2296,1.23495,1.2264,1.23242
2021-01-06,8:15pm,USD,Final Services PMI,Low,54.8,55.3,1.2296,1.23495,1.2264,1.23242
2021-01-06,8:30pm,USD,Factory Orders m/m,Low,1.0%,1.3%,1.2296,1.23495,1.2264,1.23242
2021-01-06,9:00pm,USD,Crude Oil Inventories,Low,-8.0M,-6.1M,1.2296,1.23495,1.2264,1.23242
2021-01-07,12:30pm,EUR,German Factory Orders m/m,Low,2.3%,3.3%,1.2325,1.23445,1.2243,1.22688
2021-01-07,3:30pm,EUR,Core CPI Flash Estimate y/y,Low,0.2%,0.2%,1.2325,1.23445,1.2243,1.22688
2021-01-07,3:30pm,EUR,CPI Flash Estimate y/y,Low,-0.3%,-0.3%,1.2325,1.23445,1.2243,1.22688
2021-01-07,3:30pm,EUR,Italian Prelim CPI m/m,Low,0.3%,-0.1%,1.2325,1.23445,1.2243,1.22688
2021-01-07,3:30pm,EUR,Retail Sales m/m,Low,-6.1%,1.4%,1.2325,1.23445,1.2243,1.22688
2021-01-07,3:34pm,EUR,French 10-y Bond Auction,Low,-0.33|1.9,-0.26|2.1,1.2325,1.23445,1.2243,1.22688
2021-01-07,6:00pm,USD,Challenger Job Cuts y/y,Low,134.5%,45.4%,1.2325,1.23445,1.2243,1.22688
2021-01-07,6:00pm,USD,Unemployment Claims,Medium,787K,790K,1.2325,1.23445,1.2243,1.22688
2021-01-07,6:00pm,USD,Trade Balance,Low,-68.1B,-63.1B,1.2325,1.23445,1.2243,1.22688
2021-01-07,6:00pm,USD,ISM Services PMI,Medium,57.2,55.9,1.2325,1.23445,1.2243,1.22688
2021-01-07,9:00pm,USD,Natural Gas Storage,Low,-130B,-114B,1.2325,1.23445,1.2243,1.22688
2021-01-08,12:30pm,EUR,German Industrial Production m/m,Low,0.9%,3.4%,1.22705,1.22848,1.2193,1.2197
2021-01-08,12:30pm,EUR,German Trade Balance,Low,16.4B,18.2B,1.22705,1.22848,1.2193,1.2197
2021-01-08,1:15pm,EUR,French Consumer Spending m/m,Low,-18.9%,3.9%,1.22705,1.22848,1.2193,1.2197
